TpepPickupDatetime,TpepDropoffDatetime,PassengerCount,TripDistance,StoreAndFwdFlag,PULocationID,DOLocationID,FareAmount,TipAmount
1/1/2020 1:02:45 AM,1/1/2020 1:12:55 AM,1,0.51,No,48,48,-7.5,0
1/1/2020 1:02:45 AM,1/1/2020 1:12:55 AM,1,0.51,No,48,48,7.5,0
1/1/2020 1:11:25 AM,1/1/2020 1:12:02 AM,1,0.02,No,164,164,-2.5,0
1/1/2020 1:11:25 AM,1/1/2020 1:12:02 AM,1,0.02,No,164,164,2.5,0
1/1/2020 1:33:25 AM,1/1/2020 1:35:28 AM,1,0.17,No,79,79,-3.5,0
1/1/2020 1:33:25 AM,1/1/2020 1:35:28 AM,1,0.17,No,79,79,3.5,0
1/1/2020 1:33:07 AM,1/1/2020 1:34:11 AM,1,0,No,4,4,-3,0
1/1/2020 1:33:07 AM,1/1/2020 1:34:11 AM,1,0,No,4,4,3,0
1/1/2020 2:14:34 AM,1/1/2020 2:14:58 AM,2,0.06,No,161,161,-2.5,0
1/1/2020 2:14:34 AM,1/1/2020 2:14:58 AM,2,0.06,No,161,161,2.5,0
1/1/2020 2:16:26 AM,1/1/2020 2:22:04 AM,1,0.71,No,161,100,-23,0
1/1/2020 2:16:26 AM,1/1/2020 2:22:04 AM,1,0.71,No,161,100,23,0
1/1/2020 2:59:50 AM,1/1/2020 3:00:22 AM,5,0.05,No,107,107,-2.5,0
1/1/2020 2:59:50 AM,1/1/2020 3:00:22 AM,5,0.05,No,107,107,2.5,0
